"Copy the <a href="http://developers.payulatam.com/es/web_checkout/sandbox.html" target="_blank">test credentials</a>","Copy from <a href="http://developers.payulatam.com/es/web_checkout/sandbox.html" target="_blank">test credentials</a>",
"Copy from your configuration in PayuLatam panel","Copy from your configuration in PayuLatam panel",
"The status of the order is pending, waiting to process the payment by  payU latam","The status of the order is pending, waiting to process the payment by  payU latam"
